titolare	domanda_id	database
TASSINARI GIUSEPPE A ALFONSINE RAVENNA	1698	itapat_1976_1
ESPOSITO GIUSEPPE E F.LLI ERNANDO E BRUNO A ALGHERO SASSARI	7173	itapat_1972_1
DE GIOVANNI NERIA	16	itapat_1990_33
VICENTELLI CLAUDIO	928	itapat_1990_99
VICENTELLI CLAUDIO	364	itapat_1990_185
VICENTELLI CLAUDIO	413	itapat_1990_128
VICENTELLI CLAUDIO	664	itapat_1990_73
VINCENTELLI CLAUDIO	125	itapat_1990_129
TARANTINO FLAVIO	900	itapat_1990_57
VICENTELLI CLAUDIO	613	itapat_1990_102
VICENTELLI CLAUDIO	358	itapat_1990_65
TARANTINO FLAVIO	224	itapat_1990_67
VIOTTI GIOVANNI BATTISTA AD ALICE BEL COLLE, ALESSANDRIA CASCINA CIA	2031	itapat_1972_2
MULLER SERGIO ALME' (BG)	431	itapat_1988_3
BETTINELLI LUCIANO	44	itapat_1990_72
BETTINELLI ALBERTO	144	itapat_1990_93
ARRIGONI LUIGI ROTA BRUNO E ROTA GIUSEPPE AD ALMENNO SAN SALVATORE BERGAMO	1770	itapat_1969_1
BETTINELLI ALBERTO	91	itapat_1990_100
TANZI MARIO	313	itapat_1990_173
BUSCARINI LUIGI	502	itapat_1990_28
TANZI MARIO	445	itapat_1990_14
DIBENEDETTO ANGELA	298	itapat_1990_180
SAVINO NICOLA	430	itapat_1990_56
POLI MARCO	656	itapat_1990_181
CARTIERE PAOLO PIGNA S.P.A.	470	itapat_1990_26
CARTIERE PAOLO PIGNA S.P.A. AD ALZANO LOMBARDO BERGAMO	3069	itapat_1968_1
CARTIERE PAOLO PIGNA S.P.A.	835	itapat_1990_105
CARTIERE PAOLO PIGNA S.P.A. AD ALZANO LOMBARDO BERGAMO	5059	itapat_1972_2
AD ALZANO LOMBARDO BERGAMO CARTIERE PAOLO PIGNA S.P.A.	3787	itapat_1970_2
CARTIERE PAOLO PIGNA S.P.A. AD ALZANO LOMBARDO BERGAMO	7304	itapat_1968_3
MAGGI ANGELO	995	itapat_1990_114
LA BOTTEGA DELLA MUSICA DI MAURI PIETRO	276	itapat_1990_189
FRATELLI GATTONI DI PIETRO GATTONI S.A.S. AD ALZO NOVARA BONARDI GIANNI A LOSONE TICINO SVIZZERA	584	itapat_1971_1
VALENTINI GIUSEPPE AMELIA (TR)	2499	itapat_1982_2
SANITEX S.N.C. DI TESTORI GIUSEPPE & C.	294	itapat_1990_118
SANITEX SNC DI TESTORI GIUSEPPE E C.	712	itapat_1990_117
COLETTI CONTI ALBERTO	834	itapat_1990_131
PESARESI ALFIO E CUCCHI MARIO AD ANCONA	7199	itapat_1971_2
ROSSETTI GIUSEPPE	318	itapat_1990_188
RATTI ROBERTO	170	itapat_1990_83
A ANCONA RATTI FRANCO E RATTI ROBERTO	3902	itapat_1981_1
PIERLORENZI PAOLO A FRAZ.TORRETTE ANCONA	2819	itapat_1980_2
F.A.L.A. - SERGIO MARCHETTI - S.R.L.	746	itapat_1990_187
F.A.L.A. - SERGIO MARCHETTI - S.R.L.	563	itapat_1990_195
CONTI MASSIMO	445	itapat_1990_183
RATTI FRANCO E RATTI ROBERTO A ANCONA	3014	itapat_1981_1
DITTA G B T DI BORSINI GIUSEPPE AD ANCONA	3333	itapat_1971_2
RATTI ROBERTO	839	itapat_1990_82
GIORGI GIANFRANCO AGOSTINO	689	itapat_1990_24
RATTI ROBERTO	714	itapat_1990_83
RATTI ROBERTO	767	itapat_1990_69
RATTI ROBERTO	915	itapat_1990_72
LEVI D'ANCONA PIERLORENZO ROSSI GIULIO FIRENZE, VIA MASACCIO, 17 FIRENZE, VIA LUNA, 20	1211	itapat_1980_2
FALA DI SERGIO MARCHETTI SRL	635	itapat_1990_66
F.A.L.A. SERGIO MARCHETTI S.R.L.	749	itapat_1990_144
CONTI MASSIMO	168	itapat_1990_186
GIORGI GIORGIO A ANCONA ANCONA	8401	itapat_1973_3
F.A.L.A. - SERGIO MARCHETTI - S.R.L.	518	itapat_1990_172
RATTI FRANCO E RATTI ROBERTO A ANCONA	3015	itapat_1981_1
